"","docname","from","to","pre","keyword","post","pattern","prekeypost","ID"
"129","text101",4,4,"国际关系 史上 极不平凡的一年","百年未有之大变局","叠加 百年 未遇 疫情 促使","百年未有之大变局","国际关系 史上 极不平凡的一年 百年未有之大变局 叠加 百年 未遇 疫情 促使",129
"130","text104",5,5,"构建新型国际关系 中国 主动 迎接","百年未有之大变局","战略 抉择 新型国际关系 相互尊重 公平正义","百年未有之大变局","构建新型国际关系 中国 主动 迎接 百年未有之大变局 战略 抉择 新型国际关系 相互尊重 公平正义",130
"131","text104",14,14,"相互尊重 公平正义 合作共赢 借鉴 经济学的供求理论","百年未有之大变局","背景 分析 构建新型国际关系 动力 政治","百年未有之大变局","相互尊重 公平正义 合作共赢 借鉴 经济学的供求理论 百年未有之大变局 背景 分析 构建新型国际关系 动力 政治",131
"132","text104",24,24,"政治 多极化 经济全球化 全球治理 变革","百年未有之大变局","特征 构建新型国际关系 需求动力 国际关系 体系","百年未有之大变局","政治 多极化 经济全球化 全球治理 变革 百年未有之大变局 特征 构建新型国际关系 需求动力 国际关系 体系",132
"133","text104",32,32,"需求动力 国际关系 体系 自我变革 体系弊端","百年未有之大变局","深层 动因 构建新型国际关系 改革动力 人类命运共同体","百年未有之大变局","需求动力 国际关系 体系 自我变革 体系弊端 百年未有之大变局 深层 动因 构建新型国际关系 改革动力 人类命运共同体",133
"134","text105",17,17,"当今 全球 变化 态势 世界","百年未有之大变局","重大论断 理论 视野 百年变局 世界权力格局","百年未有之大变局","当今 全球 变化 态势 世界 百年未有之大变局 重大论断 理论 视野 百年变局 世界权力格局",134
"135","text106",1,1,"","""百年未有之大变局""","体现 国际格局 国际体系 调整 全球治理体系","百年未有之大变局"," ""百年未有之大变局"" 体现 国际格局 国际体系 调整 全球治理体系",135
"136","text107",2,2,"当今世界","百年未有之大变局","新工业革命 初期 技术 扩散 动力","百年未有之大变局","当今世界 百年未有之大变局 新工业革命 初期 技术 扩散 动力",136
"137","text108",60,60,"外交话语 实现 中华民族的伟大复兴 两个一百年奋斗目标 世界","百年未有之大变局","内外因 随着 中国特色社会主义 步入 新时代","百年未有之大变局","外交话语 实现 中华民族的伟大复兴 两个一百年奋斗目标 世界 百年未有之大变局 内外因 随着 中国特色社会主义 步入 新时代",137
"138","text109",1,1,"","百年未有之大变局","习近平 国际格局 发展趋势 重要论断 我国","百年未有之大变局"," 百年未有之大变局 习近平 国际格局 发展趋势 重要论断 我国",138
"139","text112",1,1,"","百年未有之大变局","体现 国际格局 国际体系 调整 全球治理体系","百年未有之大变局"," 百年未有之大变局 体现 国际格局 国际体系 调整 全球治理体系",139
"140","text112",17,17,"革命性 变化 两个一百年 历史 交汇","百年未有之大变局","时代潮流 中国共产党 领导 多党合作 政治协商","百年未有之大变局","革命性 变化 两个一百年 历史 交汇 百年未有之大变局 时代潮流 中国共产党 领导 多党合作 政治协商",140
"141","text113",2,2,"当今世界","百年未有之大变局","教育 人类 发展 重要 基础","百年未有之大变局","当今世界 百年未有之大变局 教育 人类 发展 重要 基础",141
"142","text113",33,33,"技术 变革 全球治理体系 社会 变革","百年未有之大变局","世界教育变革 战略 背景 产生 缘由","百年未有之大变局","技术 变革 全球治理体系 社会 变革 百年未有之大变局 世界教育变革 战略 背景 产生 缘由",142
"143","text114",2,2,"当今世界","百年未有之大变局","构建 人类命运共同体 带来 机遇 带来","百年未有之大变局","当今世界 百年未有之大变局 构建 人类命运共同体 带来 机遇 带来",143
"144","text115",41,41,"认知 把握 中国外交 战略选择 政策","百年未有之大变局","中华民族伟大复兴 两个大局 通过 构建 复合","百年未有之大变局","认知 把握 中国外交 战略选择 政策 百年未有之大变局 中华民族伟大复兴 两个大局 通过 构建 复合",144
"145","text116",8,8,"肆虐 加剧 全球治理 赤字 加快","世界百年未有之大变局","演化 进程 大变局 俄罗斯 西方","百年未有之大变局","肆虐 加剧 全球治理 赤字 加快 世界百年未有之大变局 演化 进程 大变局 俄罗斯 西方",145
"146","text117",2,2,"当今世界","百年未有之大变局","习近平 重大论断 论断 不仅 帮助","百年未有之大变局","当今世界 百年未有之大变局 习近平 重大论断 论断 不仅 帮助",146
"147","text117",22,22,"使命 深刻理解 中华民族伟大复兴 世界 历史意义","""百年未有之大变局""","百年大党 中国共产党 既要 认清 自我","百年未有之大变局","使命 深刻理解 中华民族伟大复兴 世界 历史意义 ""百年未有之大变局"" 百年大党 中国共产党 既要 认清 自我",147
"148","text120",40,40,"国际 社会 后来者 中国 国际身份","世界百年未有之大变局","著变 不变 双重 考验 从变","百年未有之大变局","国际 社会 后来者 中国 国际身份 世界百年未有之大变局 著变 不变 双重 考验 从变",148
"149","text121",15,15,"结构 之变 共同 构成 当今","百年未有之大变局","两个 面向 大变局 改变 中国","百年未有之大变局","结构 之变 共同 构成 当今 百年未有之大变局 两个 面向 大变局 改变 中国",149
"150","text122",1,1,"","百年未有之大变局","我国 意识形态建设 著新 机遇 挑战","百年未有之大变局"," 百年未有之大变局 我国 意识形态建设 著新 机遇 挑战",150
"151","text122",49,49,"人工智能 时代 意识形态建设 主动权 四是","世界百年未有之大变局","中华民族伟大复兴 历史 交汇 重视 国家凝聚力","百年未有之大变局","人工智能 时代 意识形态建设 主动权 四是 世界百年未有之大变局 中华民族伟大复兴 历史 交汇 重视 国家凝聚力",151
"152","text123",3,3,"本文 揭示","百年未有之大变局","属性 基础 中国 驱动 变局","百年未有之大变局","本文 揭示 百年未有之大变局 属性 基础 中国 驱动 变局",152
"153","text125",40,40,"金融中心 贸易 中心 转移 当今世界","百年未有之大变局","马克思 恩格斯 论述 中国 积极","百年未有之大变局","金融中心 贸易 中心 转移 当今世界 百年未有之大变局 马克思 恩格斯 论述 中国 积极",153
"154","text127",80,80,"因此 理清 抗争政治 民主 迷思","百年未有之大变局","抗争政治 现象 本身 国家 政治","百年未有之大变局","因此 理清 抗争政治 民主 迷思 百年未有之大变局 抗争政治 现象 本身 国家 政治",154
"155","text129",19,19,"阶段性 收缩 多边体制 碎片 风险","世界百年未有之大变局","凸显出 中国 新发展理念 构建 新发展格局","百年未有之大变局","阶段性 收缩 多边体制 碎片 风险 世界百年未有之大变局 凸显出 中国 新发展理念 构建 新发展格局",155
"156","text130",3,3,"习近平 放眼世界","百年未有之大变局","重要论断 极为 重大 但是 只以","百年未有之大变局","习近平 放眼世界 百年未有之大变局 重要论断 极为 重大 但是 只以",156
"157","text130",12,12,"但是 只以 三十年 七十年 视野","百年未有之大变局","不能不 社会主义 百年 实践 历程","百年未有之大变局","但是 只以 三十年 七十年 视野 百年未有之大变局 不能不 社会主义 百年 实践 历程",157
"158","text130",40,40,"辅线 发展中国家 表现 演化 大变局","百年未有之大变局","本质 制度竞争 这种 根本 竞争","百年未有之大变局","辅线 发展中国家 表现 演化 大变局 百年未有之大变局 本质 制度竞争 这种 根本 竞争",158
"159","text130",58,58,"世界格局 倾斜 变化 关口 科学认识","百年未有之大变局","增强 中国特色社会主义 自信","百年未有之大变局","世界格局 倾斜 变化 关口 科学认识 百年未有之大变局 增强 中国特色社会主义 自信",159
"160","text131",1,1,"","百年未有之大变局","背景 行星科学 深空探测 领域 发展","百年未有之大变局"," 百年未有之大变局 背景 行星科学 深空探测 领域 发展",160
"161","text132",13,13,"书中 虽然 没有 直接 论述","百年未有之大变局","近代 社会阶级力量 形成 无产阶级 政党","百年未有之大变局","书中 虽然 没有 直接 论述 百年未有之大变局 近代 社会阶级力量 形成 无产阶级 政党",161
"162","text132",27,27,"道路 转型 问题 研讨 洋溢着","百年未有之大变局","历史逻辑 洞悉 当下 准确 认识","百年未有之大变局","道路 转型 问题 研讨 洋溢着 百年未有之大变局 历史逻辑 洞悉 当下 准确 认识",162
"163","text132",34,34,"洞悉 当下 准确 认识 把握","百年未有之大变局","重要 助益","百年未有之大变局","洞悉 当下 准确 认识 把握 百年未有之大变局 重要 助益",163
"164","text133",2,2,"当今世界","百年未有之大变局","高校 肩负 培育 时代 新人","百年未有之大变局","当今世界 百年未有之大变局 高校 肩负 培育 时代 新人",164
"165","text135",127,127,"变化 所作 战略部署 安排 体现","百年未有之大变局","中国 积极 应对 风险 挑战","百年未有之大变局","变化 所作 战略部署 安排 体现 百年未有之大变局 中国 积极 应对 风险 挑战",165
"166","text136",1,1,"","百年未有之大变局","全球治理 进入 深度 调整 时期","百年未有之大变局"," 百年未有之大变局 全球治理 进入 深度 调整 时期",166
"167","text136",83,83,"共商 共建 共享 全球治理 实践","百年未有之大变局","世界历史 深度 发展 全人类 和谐","百年未有之大变局","共商 共建 共享 全球治理 实践 百年未有之大变局 世界历史 深度 发展 全人类 和谐",167
"168","text137",2,2,"世界","百年未有之大变局","习近平 世界发展 局势 重大 判断","百年未有之大变局","世界 百年未有之大变局 习近平 世界发展 局势 重大 判断",168
"169","text137",14,14,"之下 可知 挑战 有着 机遇","百年未有之大变局","具体 表现 人类 历史 四个","百年未有之大变局","之下 可知 挑战 有着 机遇 百年未有之大变局 具体 表现 人类 历史 四个",169
"170","text138",1,1,"","百年未有之大变局","有关 两岸关系 各方 态度 政策","百年未有之大变局"," 百年未有之大变局 有关 两岸关系 各方 态度 政策",170
"171","text139",1,1,"","百年未有之大变局","战略性 判断 不仅 中国 方面","百年未有之大变局"," 百年未有之大变局 战略性 判断 不仅 中国 方面",171
"172","text141",13,13,"国家 规划 推进 如今 世界","百年未有之大变局","国际 国内形势 变革 汉语 国际","百年未有之大变局","国家 规划 推进 如今 世界 百年未有之大变局 国际 国内形势 变革 汉语 国际",172
"173","text143",6,6,"世界 进入 动荡变革期 习近平 当今世界","百年未有之大变局","国际局势 重大 判断 世界 进入","百年未有之大变局","世界 进入 动荡变革期 习近平 当今世界 百年未有之大变局 国际局势 重大 判断 世界 进入",173
"174","text143",23,23,"挑战 不稳定不确定因素 给予 充分 估计","百年未有之大变局","世界 进入 动荡变革期 要求 辩证","百年未有之大变局","挑战 不稳定不确定因素 给予 充分 估计 百年未有之大变局 世界 进入 动荡变革期 要求 辩证",174
"175","text144",17,17,"2017 习近平 新时代 背景 当今世界","百年未有之大变局","重要论述 马克思世界历史理论 视角 来看 百年未有之大变局","百年未有之大变局","2017 习近平 新时代 背景 当今世界 百年未有之大变局 重要论述 马克思世界历史理论 视角 来看 百年未有之大变局",175
"176","text144",22,22,"百年未有之大变局 重要论述 马克思世界历史理论 视角 来看","百年未有之大变局","不仅仅 资本主义 国家 内部 变化","百年未有之大变局","百年未有之大变局 重要论述 马克思世界历史理论 视角 来看 百年未有之大变局 不仅仅 资本主义 国家 内部 变化",176
"177","text144",34,34,"世界历史 向前 发展 进入 标志","百年未有之大变局","表现 国际 力量 明显 对比","百年未有之大变局","世界历史 向前 发展 进入 标志 百年未有之大变局 表现 国际 力量 明显 对比",177
"178","text145",84,84,"转向 智能化 数字化 世界经济格局 调整","百年未有之大变局","根本原因 中国 宝贵 发展 机遇","百年未有之大变局","转向 智能化 数字化 世界经济格局 调整 百年未有之大变局 根本原因 中国 宝贵 发展 机遇",178
"179","text146",2,2,"当今世界","百年未有之大变局","高校思政课教学 机遇 挑战 一些 特点","百年未有之大变局","当今世界 百年未有之大变局 高校思政课教学 机遇 挑战 一些 特点",179
"180","text148",2,2,"世界","百年未有之大变局","国家 主席 习近平 国际局势 最新","百年未有之大变局","世界 百年未有之大变局 国家 主席 习近平 国际局势 最新",180
"181","text149",1,1,"","百年未有之大变局","当下 我国 区域发展 总体 格局","百年未有之大变局"," 百年未有之大变局 当下 我国 区域发展 总体 格局",181
"182","text150",2,2,"放眼世界","百年未有之大变局","立足 国内 近代 最好 发展","百年未有之大变局","放眼世界 百年未有之大变局 立足 国内 近代 最好 发展",182
"183","text151",10,10,"世界格局 变化 精准 概括 总结","百年未有之大变局","2021 中国共产党 迎来 建党100周年 两个","百年未有之大变局","世界格局 变化 精准 概括 总结 百年未有之大变局 2021 中国共产党 迎来 建党100周年 两个",183
"184","text151",30,30,"继承 总结 优良传统 经验启示 重大","百年未有之大变局","带来 前所未有 不确定性 带来 前所未有","百年未有之大变局","继承 总结 优良传统 经验启示 重大 百年未有之大变局 带来 前所未有 不确定性 带来 前所未有",184
"185","text152",2,2,"世界","百年未有之大变局","全球 经济 生产 事实上 一体","百年未有之大变局","世界 百年未有之大变局 全球 经济 生产 事实上 一体",185
"186","text153",3,3,"梳理 总结","百年未有之大变局","内涵 结合 国内外 研究成果 阐述","百年未有之大变局","梳理 总结 百年未有之大变局 内涵 结合 国内外 研究成果 阐述",186
"187","text154",57,57,"新形态 深刻影响 世界格局 未来 走向","世界百年未有之大变局","中华民族 实现 伟大复兴 战略 全局","百年未有之大变局","新形态 深刻影响 世界格局 未来 走向 世界百年未有之大变局 中华民族 实现 伟大复兴 战略 全局",187
"188","text154",66,66,"战略 全局 只有 准确 世界","百年未有之大变局","内涵 认识 世界 百年未有之大变局 表现","百年未有之大变局","战略 全局 只有 准确 世界 百年未有之大变局 内涵 认识 世界 百年未有之大变局 表现",188
"189","text154",70,70,"世界 百年未有之大变局 内涵 认识 世界","百年未有之大变局","表现 困境 根源 才能 效应","百年未有之大变局","世界 百年未有之大变局 内涵 认识 世界 百年未有之大变局 表现 困境 根源 才能 效应",189
"190","text155",1,1,"","百年未有之大变局","起因于 中国 改革开放 以后 经济","百年未有之大变局"," 百年未有之大变局 起因于 中国 改革开放 以后 经济",190
"191","text155",46,46,"国家 发展 至关重要 中国 驾驭","百年未有之大变局","构建 国内 循环 主体 国内","百年未有之大变局","国家 发展 至关重要 中国 驾驭 百年未有之大变局 构建 国内 循环 主体 国内",191
"192","text156",3,3,"习近平 世界","百年未有之大变局","重大 战略 判断 深厚 哲学","百年未有之大变局","习近平 世界 百年未有之大变局 重大 战略 判断 深厚 哲学",192
"193","text157",6,6,"习近平 多次 强调 我国 发展","百年未有之大变局","时代 正确认识 百年未有之大变局 有利于 明晰","百年未有之大变局","习近平 多次 强调 我国 发展 百年未有之大变局 时代 正确认识 百年未有之大变局 有利于 明晰",193
"194","text157",9,9,"我国 发展 百年未有之大变局 时代 正确认识","百年未有之大变局","有利于 明晰 当下 世界发展 格局","百年未有之大变局","我国 发展 百年未有之大变局 时代 正确认识 百年未有之大变局 有利于 明晰 当下 世界发展 格局",194
"195","text157",23,23,"科学分析 世界历史 产生 发展 归宿","百年未有之大变局","思考 角度 指导 正确认识 百年未有之大变局","百年未有之大变局","科学分析 世界历史 产生 发展 归宿 百年未有之大变局 思考 角度 指导 正确认识 百年未有之大变局",195
"196","text157",28,28,"百年未有之大变局 思考 角度 指导 正确认识","百年未有之大变局","产生 机理 发展趋势 应对 方法","百年未有之大变局","百年未有之大变局 思考 角度 指导 正确认识 百年未有之大变局 产生 机理 发展趋势 应对 方法",196
"197","text158",1,1,"","世界百年未有之大变局","背景 世界 怎么 怎么办 人类","百年未有之大变局"," 世界百年未有之大变局 背景 世界 怎么 怎么办 人类",197
"198","text158",27,27,"视角 通过 中国特色知识体系 建构 认识","世界百年未有之大变局","进而 解释 世界 怎么 通过","百年未有之大变局","视角 通过 中国特色知识体系 建构 认识 世界百年未有之大变局 进而 解释 世界 怎么 通过",198
"199","text158",36,36,"怎么 通过 中国特色知识体系 建构 应对","世界百年未有之大变局","进而 阐述 怎么办 通过 中国特色知识体系","百年未有之大变局","怎么 通过 中国特色知识体系 建构 应对 世界百年未有之大变局 进而 阐述 怎么办 通过 中国特色知识体系",199
"200","text158",43,43,"阐述 怎么办 通过 中国特色知识体系 建构","世界百年未有之大变局","进而 回答 人类 何处","百年未有之大变局","阐述 怎么办 通过 中国特色知识体系 建构 世界百年未有之大变局 进而 回答 人类 何处",200
"201","text159",1,1,"","百年未有之大变局","历史 坐标 世界 下一阶段 发展","百年未有之大变局"," 百年未有之大变局 历史 坐标 世界 下一阶段 发展",201
"202","text159",27,27,"重要 前提 概念 国内 学术界","百年未有之大变局","研究 逐渐 兴起 方兴未艾 剖析","百年未有之大变局","重要 前提 概念 国内 学术界 百年未有之大变局 研究 逐渐 兴起 方兴未艾 剖析",202
"203","text159",33,33,"研究 逐渐 兴起 方兴未艾 剖析","百年未有之大变局","背景 宏观 研究 阐释 时代","百年未有之大变局","研究 逐渐 兴起 方兴未艾 剖析 百年未有之大变局 背景 宏观 研究 阐释 时代",203
"204","text159",41,41,"研究 阐释 时代 变化 分析","百年未有之大变局","特征 微观 研究 分析 不变","百年未有之大变局","研究 阐释 时代 变化 分析 百年未有之大变局 特征 微观 研究 分析 不变",204
"205","text159",64,64,"忧患意识 历史机遇 意识 努力 这场","百年未有之大变局","把握 航向","百年未有之大变局","忧患意识 历史机遇 意识 努力 这场 百年未有之大变局 把握 航向",205
"206","text160",2,2,"世界","百年未有之大变局","习近平 2017 针对 国际形势 变化","百年未有之大变局","世界 百年未有之大变局 习近平 2017 针对 国际形势 变化",206
"207","text160",27,27,"世界 未来 发展 趋势 高瞻远瞩","世界百年未有之大变局","背景 认识 百年未有之大变局 百年未有之大变局 全球","百年未有之大变局","世界 未来 发展 趋势 高瞻远瞩 世界百年未有之大变局 背景 认识 百年未有之大变局 百年未有之大变局 全球",207
"208","text160",30,30,"趋势 高瞻远瞩 世界百年未有之大变局 背景 认识","百年未有之大变局","百年未有之大变局 全球 局势 应对 百年未有之大变局","百年未有之大变局","趋势 高瞻远瞩 世界百年未有之大变局 背景 认识 百年未有之大变局 百年未有之大变局 全球 局势 应对 百年未有之大变局",208
"209","text160",31,31,"高瞻远瞩 世界百年未有之大变局 背景 认识 百年未有之大变局","百年未有之大变局","全球 局势 应对 百年未有之大变局 四个","百年未有之大变局","高瞻远瞩 世界百年未有之大变局 背景 认识 百年未有之大变局 百年未有之大变局 全球 局势 应对 百年未有之大变局 四个",209
"210","text160",35,35,"百年未有之大变局 百年未有之大变局 全球 局势 应对","百年未有之大变局","四个 方面 论述 百年未有之大变局 中华民族伟大复兴","百年未有之大变局","百年未有之大变局 百年未有之大变局 全球 局势 应对 百年未有之大变局 四个 方面 论述 百年未有之大变局 中华民族伟大复兴",210
"211","text160",39,39,"应对 百年未有之大变局 四个 方面 论述","百年未有之大变局","中华民族伟大复兴 前所 未为 外部 重大","百年未有之大变局","应对 百年未有之大变局 四个 方面 论述 百年未有之大变局 中华民族伟大复兴 前所 未为 外部 重大",211
"212","text161",1,1,"","百年未有之大变局","加速 演化 拷问 人类社会 制度","百年未有之大变局"," 百年未有之大变局 加速 演化 拷问 人类社会 制度",212
"213","text162",2,2,"当今世界","百年未有之大变局","人类文明 更替 全球性 变化 系统性","百年未有之大变局","当今世界 百年未有之大变局 人类文明 更替 全球性 变化 系统性",213
"214","text163",4,4,"历史学 角度 认识","百年未有之大变局","概念 三个方面 中国 百年 历史","百年未有之大变局","历史学 角度 认识 百年未有之大变局 概念 三个方面 中国 百年 历史",214
"215","text163",18,18,"强起来 伟大 飞跃 这是 中华民族","百年未有之大变局","从近 百年 中外 关系史 中国","百年未有之大变局","强起来 伟大 飞跃 这是 中华民族 百年未有之大变局 从近 百年 中外 关系史 中国",215
"216","text163",30,30,"国际关系 百年 相比 不可同日而语 可谓","百年未有之大变局","国际共产主义运动 百年 历史 中国 经过","百年未有之大变局","国际关系 百年 相比 不可同日而语 可谓 百年未有之大变局 国际共产主义运动 百年 历史 中国 经过",216
"217","text163",50,50,"世界 人民 走向 全新 境界","百年未有之大变局","","百年未有之大变局","世界 人民 走向 全新 境界 百年未有之大变局 ",217
"218","text164",34,34,"媒体 两岸 国学 中心 承办","百年未有之大变局","中华 传统 文明 转换 发展","百年未有之大变局","媒体 两岸 国学 中心 承办 百年未有之大变局 中华 传统 文明 转换 发展",218
"219","text165",28,28,"基本 生存 发展 程度 世界","百年未有之大变局","冲突 剧烈性 加剧 整体 复杂性","百年未有之大变局","基本 生存 发展 程度 世界 百年未有之大变局 冲突 剧烈性 加剧 整体 复杂性",219
"220","text166",34,34,"挖掘 评估 平民教育思想 历史意义 当代价值","百年未有之大变局","思考 我国 职业教育 创新 发展","百年未有之大变局","挖掘 评估 平民教育思想 历史意义 当代价值 百年未有之大变局 思考 我国 职业教育 创新 发展",220
"221","text167",39,39,"水平 相适应 党和人民 伟大 创造","百年未有之大变局","这样 国际形势 充分发挥 中国特色社会主义 经济","百年未有之大变局","水平 相适应 党和人民 伟大 创造 百年未有之大变局 这样 国际形势 充分发挥 中国特色社会主义 经济",221
"222","text170",6,6,"生产力 发展 历史 进步 基础","世界百年未有之大变局","源自 生产力 两大 调整 一是","百年未有之大变局","生产力 发展 历史 进步 基础 世界百年未有之大变局 源自 生产力 两大 调整 一是",222
"223","text171",2,2,"当今世界","百年未有之大变局","发展 时代 变革 时代 这样","百年未有之大变局","当今世界 百年未有之大变局 发展 时代 变革 时代 这样",223
"224","text172",3,3,"科学 把握","世界百年未有之大变局","需要 马克思主义哲学 世界观 方法论 指导","百年未有之大变局","科学 把握 世界百年未有之大变局 需要 马克思主义哲学 世界观 方法论 指导",224
"225","text172",11,11,"世界观 方法论 指导 马克思主义哲学 视野","世界百年未有之大变局","由来 偶然性 中有 必然性 当下","百年未有之大变局","世界观 方法论 指导 马克思主义哲学 视野 世界百年未有之大变局 由来 偶然性 中有 必然性 当下",225
"226","text172",30,30,"基本规律 意识 自觉 行动 自觉","世界百年未有之大变局","样态 变中 未变 当下 需要","百年未有之大变局","基本规律 意识 自觉 行动 自觉 世界百年未有之大变局 样态 变中 未变 当下 需要",226
"227","text172",45,45,"一切 实际 出发 战略 定位","世界百年未有之大变局","发展趋势 确定性 中有 不确定性 当下","百年未有之大变局","一切 实际 出发 战略 定位 世界百年未有之大变局 发展趋势 确定性 中有 不确定性 当下",227
"228","text172",62,62,"重要 机遇 警惕 化解 重大风险","世界百年未有之大变局","本质 特征 辩证 贯穿 世界百年未有之大变局","百年未有之大变局","重要 机遇 警惕 化解 重大风险 世界百年未有之大变局 本质 特征 辩证 贯穿 世界百年未有之大变局",228
"229","text172",67,67,"世界百年未有之大变局 本质 特征 辩证 贯穿","世界百年未有之大变局","发展 始终 决定 客观 物质","百年未有之大变局","世界百年未有之大变局 本质 特征 辩证 贯穿 世界百年未有之大变局 发展 始终 决定 客观 物质",229
"230","text173",15,15,"任何 势力 任何 敌人 吓倒","百年未有之大变局","高校 教师 思政课 教师应 提高认识","百年未有之大变局","任何 势力 任何 敌人 吓倒 百年未有之大变局 高校 教师 思政课 教师应 提高认识",230
"231","text175",4,4,"新冠病毒 疫情 必将","世界百年未有之大变局","产生 重大 中国 在于 世界百年未有之大变局","百年未有之大变局","新冠病毒 疫情 必将 世界百年未有之大变局 产生 重大 中国 在于 世界百年未有之大变局",231
"232","text175",9,9,"世界百年未有之大变局 产生 重大 中国 在于","世界百年未有之大变局","大变局 重要力量 新冠病毒 疫情 全球","百年未有之大变局","世界百年未有之大变局 产生 重大 中国 在于 世界百年未有之大变局 大变局 重要力量 新冠病毒 疫情 全球",232
"233","text176",7,7,"加速 百年变局 发展 进程 所谓","百年未有之大变局","特征 一大批 新兴经济体 发展中国家 群体性","百年未有之大变局","加速 百年变局 发展 进程 所谓 百年未有之大变局 特征 一大批 新兴经济体 发展中国家 群体性",233
"234","text177",2,2,"当今世界","百年未有之大变局","发展中国家 发达国家 新兴大国 传统 大国","百年未有之大变局","当今世界 百年未有之大变局 发展中国家 发达国家 新兴大国 传统 大国",234
"235","text178",1,1,"","百年未有之大变局","新民主主义革命 起点 中国 和平 崛起","百年未有之大变局"," 百年未有之大变局 新民主主义革命 起点 中国 和平 崛起",235
"236","text178",19,19,"经济全球化 失败者 主导者 历史性 转变","百年未有之大变局","重要 特征 进入 21世纪 中国","百年未有之大变局","经济全球化 失败者 主导者 历史性 转变 百年未有之大变局 重要 特征 进入 21世纪 中国",236
"237","text178",35,35,"方面 优势 日益 显现 开创","百年未有之大变局","重要 促因 百年未有之大变局 赢得 先机","百年未有之大变局","方面 优势 日益 显现 开创 百年未有之大变局 重要 促因 百年未有之大变局 赢得 先机",237
"238","text178",38,38,"显现 开创 百年未有之大变局 重要 促因","百年未有之大变局","赢得 先机 重要 保障 百年未有之大变局","百年未有之大变局","显现 开创 百年未有之大变局 重要 促因 百年未有之大变局 赢得 先机 重要 保障 百年未有之大变局",238
"239","text178",43,43,"百年未有之大变局 赢得 先机 重要 保障","百年未有之大变局","本质 特征 世界 权力 中心","百年未有之大变局","百年未有之大变局 赢得 先机 重要 保障 百年未有之大变局 本质 特征 世界 权力 中心",239
"240","text178",69,69,"加快 国家 发展 模式 多样化","百年未有之大变局","战胜 挑战 赢得 机遇 方法","百年未有之大变局","加快 国家 发展 模式 多样化 百年未有之大变局 战胜 挑战 赢得 机遇 方法",240
"241","text179",8,8,"研究 宣传 习近平新时代中国特色社会主义思想 响应 习近平","世界百年未有之大变局","人类 更好 社会制度 探索 中国方案","百年未有之大变局","研究 宣传 习近平新时代中国特色社会主义思想 响应 习近平 世界百年未有之大变局 人类 更好 社会制度 探索 中国方案",241
"242","text180",7,7,"坚持 唯物史观 才能 正确 把握","世界百年未有之大变局","内在 原因 发展趋势 世界 范围","百年未有之大变局","坚持 唯物史观 才能 正确 把握 世界百年未有之大变局 内在 原因 发展趋势 世界 范围",242
"243","text180",16,16,"世界 范围 生产力 发展 平衡","百年未有之大变局","根本原因 人力资本 发展 角度 审视","百年未有之大变局","世界 范围 生产力 发展 平衡 百年未有之大变局 根本原因 人力资本 发展 角度 审视",243
"244","text180",29,29,"重新 布局 既能 宏观 把握","世界百年未有之大变局","显现 个人 大变局 价值 有利于","百年未有之大变局","重新 布局 既能 宏观 把握 世界百年未有之大变局 显现 个人 大变局 价值 有利于",244
"245","text180",45,45,"中国特色社会主义 道路 增强 制度 自信","世界百年未有之大变局","造福 全人类 方向 发展","百年未有之大变局","中国特色社会主义 道路 增强 制度 自信 世界百年未有之大变局 造福 全人类 方向 发展",245
"246","text181",1,1,"","百年未有之大变局","习近平 2014 中央政治局 集体 学习","百年未有之大变局"," 百年未有之大变局 习近平 2014 中央政治局 集体 学习",246
"247","text181",26,26,"实现 中国发展 重要 理论依据 身处","百年未有之大变局","各国 无论是 发展 模式 经济","百年未有之大变局","实现 中国发展 重要 理论依据 身处 百年未有之大变局 各国 无论是 发展 模式 经济",247
"248","text183",34,34,"走势 优秀 经济 读物 世界","百年未有之大变局","国际 治理 体系 全球供应链 产业链","百年未有之大变局","走势 优秀 经济 读物 世界 百年未有之大变局 国际 治理 体系 全球供应链 产业链",248
"249","text184",1,1,"","百年未有之大变局","遗产话语 实践 危机 历史学 民族学","百年未有之大变局"," 百年未有之大变局 遗产话语 实践 危机 历史学 民族学",249
"250","text185",9,9,"中华民族 伟大 梦想 统筹 中华民族伟大复兴战略全局","世界百年未有之大变局","根本 价值 标准 最终 价值","百年未有之大变局","中华民族 伟大 梦想 统筹 中华民族伟大复兴战略全局 世界百年未有之大变局 根本 价值 标准 最终 价值",250
"251","text186",4,4,"历史 数次 出现","百年未有之大变局","这些 大变局 一些 共性 此前","百年未有之大变局","历史 数次 出现 百年未有之大变局 这些 大变局 一些 共性 此前",251
"252","text186",29,29,"威胁 有望 实现 持续发展 数字时代","百年未有之大变局","中国 实现 持续发展 宏观 途径","百年未有之大变局","威胁 有望 实现 持续发展 数字时代 百年未有之大变局 中国 实现 持续发展 宏观 途径",252
"253","text188",4,4,"十九届五中全会 分析 我国","百年未有之大变局","复杂 变化 为了 应对 百年未有之大变局","百年未有之大变局","十九届五中全会 分析 我国 百年未有之大变局 复杂 变化 为了 应对 百年未有之大变局",253
"254","text188",9,9,"百年未有之大变局 复杂 变化 为了 应对","百年未有之大变局","中国 共产党人 始终保持 头脑清醒 积极","百年未有之大变局","百年未有之大变局 复杂 变化 为了 应对 百年未有之大变局 中国 共产党人 始终保持 头脑清醒 积极",254
